                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 2.7607,                 2.5828,                 2.0866,                0.59228,                0.34873,                0.36987,                0.23236,                  2.838,                 2.9041,                 2.1739,             0.00023368,             0.00023368,             0.00023368
                     86,                 2.7571,                 2.5843,                  2.083,                0.58079,                 0.3743,                0.37515,                0.23756,                 2.8613,                 2.9011,                 2.1922,              0.0002317,              0.0002317,              0.0002317
                     87,                 2.7734,                 2.5761,                 2.0843,                0.62134,                0.33201,                0.37239,                0.22818,                 2.8618,                  2.963,                  2.205,             0.00022972,             0.00022972,             0.00022972
                     88,                 2.7801,                 2.5791,                 2.0958,                0.61114,                0.34629,                0.37632,                 0.2354,                  2.828,                 2.9116,                 2.1877,             0.00022774,             0.00022774,             0.00022774
                     89,                 2.7569,                 2.5664,                 2.0825,                0.63103,                0.33742,                0.37141,                0.23233,                 2.8222,                 2.8937,                 2.1707,             0.00022576,             0.00022576,             0.00022576
                     90,                 2.7453,                 2.5579,                  2.096,                0.61987,                0.33487,                0.37786,                0.23657,                 2.8306,                 2.8837,                  2.175,             0.00022378,             0.00022378,             0.00022378
                     91,                 2.7525,                 2.5526,                 2.0816,                0.56803,                0.37217,                0.38382,                0.23937,                 2.8269,                  2.967,                 2.1665,              0.0002218,              0.0002218,              0.0002218
                     92,                 2.7512,                 2.5713,                  2.087,                0.55972,                0.38478,                0.38061,                0.23541,                  2.835,                  2.947,                 2.1814,             0.00021982,             0.00021982,             0.00021982
                     93,                 2.7283,                 2.5162,                 2.0801,                0.62176,                0.34911,                0.37091,                0.23119,                 2.8365,                 2.9198,                  2.189,             0.00021784,             0.00021784,             0.00021784
                     94,                 2.7612,                 2.5354,                 2.0805,                0.62547,                 0.3285,                0.37997,                0.24041,                 2.8237,                 2.9054,                 2.1798,             0.00021586,             0.00021586,             0.00021586
                     95,                 2.7329,                 2.5525,                 2.0731,                0.59529,                0.34213,                0.37434,                0.23591,                 2.8169,                 2.9041,                  2.172,             0.00021388,             0.00021388,             0.00021388
                     96,                 2.7397,                 2.5268,                  2.077,                0.60446,                0.35687,                0.36758,                0.23001,                 2.8451,                 2.9341,                 2.1866,              0.0002119,              0.0002119,              0.0002119
                     97,                 2.7267,                 2.5228,                 2.0775,                0.61166,                0.35172,                0.36503,                0.23187,                 2.8324,                 2.8794,                 2.1801,             0.00020992,             0.00020992,             0.00020992
                     98,                 2.7257,                 2.4972,                 2.0662,                0.60995,                0.35274,                0.36238,                0.22333,                 2.8227,                 2.8967,                 2.1732,             0.00020794,             0.00020794,             0.00020794
                     99,                 2.7172,                 2.4919,                  2.074,                0.62392,                0.33556,                0.36381,                0.22694,                 2.8384,                 2.9036,                 2.1751,             0.00020596,             0.00020596,             0.00020596
                    100,                 2.7345,                 2.5268,                 2.0716,                0.59881,                0.35431,                0.37058,                0.22937,                 2.8291,                 2.9001,                 2.1803,             0.00020398,             0.00020398,             0.00020398
                    101,                 2.7743,                 2.5346,                 2.0755,                0.59613,                0.35288,                0.36773,                 0.2274,                 2.8483,                 2.8988,                 2.1822,               0.000202,               0.000202,               0.000202
                    102,                  2.706,                 2.4892,                 2.0678,                 0.5924,                0.34819,                0.37811,                0.23654,                 2.8231,                 2.8771,                 2.1715,             0.00020002,             0.00020002,             0.00020002
                    103,                 2.7155,                 2.4913,                  2.078,                0.62335,                0.33779,                0.37854,                0.23568,                 2.8327,                 2.8782,                 2.1779,             0.00019804,             0.00019804,             0.00019804
                    104,                 2.7474,                 2.5358,                 2.0811,                0.62367,                0.33656,                0.37151,                0.23412,                 2.8216,                 2.8397,                 2.1707,             0.00019606,             0.00019606,             0.00019606
                    105,                 2.7599,                 2.5171,                 2.0668,                0.61543,                0.34275,                0.37607,                0.23481,                 2.8252,                  2.891,                 2.1714,             0.00019408,             0.00019408,             0.00019408
                    106,                 2.7221,                 2.5056,                 2.0695,                0.64024,                0.34761,                0.37794,                0.22903,                 2.8142,                 2.8893,                 2.1695,              0.0001921,              0.0001921,              0.0001921
                    107,                 2.7292,                 2.4922,                 2.0686,                0.62128,                0.34632,                0.37085,                0.23092,                 2.8373,                 2.8657,                 2.1806,             0.00019012,             0.00019012,             0.00019012
                    108,                 2.7563,                 2.4967,                  2.075,                0.62861,                0.34643,                0.37635,                0.23592,                 2.8309,                 2.8955,                 2.1733,             0.00018814,             0.00018814,             0.00018814
                    109,                 2.7162,                 2.4995,                 2.0697,                0.64571,                0.33759,                0.38042,                0.23246,                 2.8284,                  2.889,                 2.1759,             0.00018616,             0.00018616,             0.00018616
                    110,                 2.6888,                 2.4392,                 2.0572,                0.63786,                0.35514,                0.39096,                0.24235,                 2.8308,                 2.8588,                 2.1763,             0.00018418,             0.00018418,             0.00018418
                    111,                 2.7326,                  2.472,                 2.0544,                0.61669,                0.35127,                0.39013,                0.24377,                 2.8404,                 2.8814,                 2.1762,              0.0001822,              0.0001822,              0.0001822
                    112,                 2.7135,                 2.4754,                 2.0583,                0.62066,                0.35557,                0.38435,                0.23963,                 2.8182,                 2.8498,                 2.1671,             0.00018022,             0.00018022,             0.00018022
                    113,                 2.7379,                 2.4783,                 2.0643,                0.62622,                0.34838,                0.38271,                0.23961,                 2.8455,                 2.8409,                 2.1791,             0.00017824,             0.00017824,             0.00017824
                    114,                 2.6953,                 2.4564,                 2.0666,                0.60959,                0.35665,                0.37855,                0.23733,                 2.8278,                  2.867,                 2.1719,             0.00017626,             0.00017626,             0.00017626
                    115,                 2.7125,                 2.4746,                 2.0646,                0.62725,                0.34986,                0.37681,                0.23661,                 2.8222,                 2.8642,                 2.1689,             0.00017428,             0.00017428,             0.00017428
                    116,                 2.7276,                 2.4788,                  2.064,                0.61634,                0.33771,                0.37325,                 0.2323,                 2.8431,                 2.9188,                 2.1815,              0.0001723,              0.0001723,              0.0001723
                    117,                  2.705,                 2.4694,                 2.0627,                0.61828,                0.34663,                0.37828,                0.23621,                 2.8264,                 2.8863,                 2.1741,             0.00017032,             0.00017032,             0.00017032
                    118,                 2.7028,                 2.4518,                 2.0591,                0.64108,                0.34018,                0.37755,                0.23788,                 2.8328,                 2.8693,                 2.1742,             0.00016834,             0.00016834,             0.00016834
                    119,                 2.6946,                 2.4432,                 2.0636,                0.63365,                0.33821,                0.37173,                0.23446,                 2.8275,                 2.8889,                 2.1736,             0.00016636,             0.00016636,             0.00016636
                    120,                 2.6703,                 2.4127,                 2.0601,                0.63541,                0.34153,                0.36648,                 0.2324,                 2.7978,                 2.8971,                  2.158,             0.00016438,             0.00016438,             0.00016438
                    121,                 2.6768,                 2.4233,                 2.0557,                0.61826,                0.34261,                0.36931,                0.23323,                 2.8186,                 2.8523,                 2.1688,              0.0001624,              0.0001624,              0.0001624
                    122,                 2.6992,                 2.4494,                 2.0578,                0.64964,                0.33753,                0.37378,                0.23637,                 2.8108,                  2.856,                 2.1626,             0.00016042,             0.00016042,             0.00016042
                    123,                 2.7028,                  2.449,                 2.0669,                0.63622,                0.34405,                0.37581,                0.23611,                 2.8051,                 2.8597,                 2.1585,             0.00015844,             0.00015844,             0.00015844
                    124,                 2.7246,                 2.4493,                 2.0595,                0.63022,                0.35246,                0.37624,                0.23651,                 2.8318,                 2.8919,                 2.1732,             0.00015646,             0.00015646,             0.00015646
                    125,                 2.7111,                 2.4333,                 2.0572,                0.59866,                0.37909,                0.38207,                0.24116,                 2.8079,                 2.8584,                 2.1646,             0.00015448,             0.00015448,             0.00015448
                    126,                 2.7007,                 2.4279,                 2.0537,                0.61832,                0.35773,                0.38212,                0.24078,                 2.8274,                 2.8685,                 2.1691,              0.0001525,              0.0001525,              0.0001525
                    127,                  2.728,                 2.4433,                 2.0528,                0.61746,                0.35178,                0.38238,                0.23919,                 2.8326,                 2.8806,                 2.1648,             0.00015052,             0.00015052,             0.00015052
                    128,                 2.6582,                 2.3999,                 2.0452,                0.61955,                0.35051,                0.37225,                0.23522,                 2.8087,                 2.8646,                 2.1648,             0.00014854,             0.00014854,             0.00014854
                    129,                 2.6945,                 2.4082,                 2.0583,                0.63187,                0.35378,                0.37423,                0.23572,                 2.8088,                 2.8619,                 2.1681,             0.00014656,             0.00014656,             0.00014656
                    130,                 2.6822,                 2.4154,                 2.0493,                0.59887,                0.37613,                0.38125,                0.24173,                  2.803,                 2.8495,                 2.1601,             0.00014458,             0.00014458,             0.00014458
                    131,                 2.6646,                 2.3995,                 2.0543,                0.60378,                0.36193,                0.37979,                0.24047,                 2.8183,                 2.8426,                 2.1618,              0.0001426,              0.0001426,              0.0001426
                    132,                 2.6487,                 2.3934,                 2.0449,                0.60248,                0.36234,                0.37913,                0.23842,                 2.8192,                 2.8754,                 2.1653,             0.00014062,             0.00014062,             0.00014062
                    133,                  2.677,                 2.3977,                 2.0469,                0.60937,                0.35777,                0.37679,                0.23724,                 2.8298,                 2.8947,                 2.1709,             0.00013864,             0.00013864,             0.00013864
                    134,                 2.6629,                 2.3825,                 2.0452,                 0.6243,                0.34762,                0.37458,                0.23494,                 2.8199,                 2.8784,                 2.1693,             0.00013666,             0.00013666,             0.00013666
                    135,                 2.7003,                 2.4117,                 2.0514,                0.58309,                0.37785,                 0.3794,                0.23866,                 2.8428,                 2.8701,                 2.1824,             0.00013468,             0.00013468,             0.00013468
                    136,                 2.7045,                 2.4263,                 2.0553,                0.62085,                0.34305,                0.36971,                 0.2328,                 2.8253,                 2.8925,                 2.1754,              0.0001327,              0.0001327,              0.0001327
                    137,                 2.6752,                 2.3888,                 2.0429,                0.62002,                0.35593,                0.36935,                  0.233,                 2.8232,                  2.881,                 2.1712,             0.00013072,             0.00013072,             0.00013072
                    138,                 2.6702,                   2.38,                 2.0339,                0.59618,                0.35516,                0.37018,                0.23179,                 2.8347,                 2.8786,                 2.1756,             0.00012874,             0.00012874,             0.00012874
                    139,                 2.6783,                 2.4027,                 2.0408,                0.64179,                 0.3466,                0.37607,                0.23664,                 2.8196,                  2.858,                 2.1653,             0.00012676,             0.00012676,             0.00012676
                    140,                 2.6629,                 2.3903,                 2.0463,                0.62149,                0.34025,                0.36985,                0.23436,                 2.8263,                   2.87,                 2.1698,             0.00012478,             0.00012478,             0.00012478
                    141,                 2.6843,                  2.386,                 2.0423,                0.61942,                0.34325,                0.36967,                0.23471,                 2.8213,                 2.8651,                 2.1646,              0.0001228,              0.0001228,              0.0001228
                    142,                 2.6814,                 2.3822,                 2.0362,                0.60491,                0.34995,                0.37171,                0.23522,                 2.8053,                 2.8666,                 2.1562,             0.00012082,             0.00012082,             0.00012082
                    143,                 2.6758,                 2.4006,                  2.049,                0.63035,                0.33615,                 0.3735,                0.23642,                 2.8043,                 2.8566,                 2.1591,             0.00011884,             0.00011884,             0.00011884
                    144,                 2.6597,                 2.3739,                 2.0379,                0.63548,                0.34813,                0.37446,                0.23633,                 2.8106,                 2.8826,                 2.1623,             0.00011686,             0.00011686,             0.00011686
                    145,                 2.6579,                  2.364,                 2.0386,                0.63467,                0.34098,                0.37165,                0.23432,                 2.8146,                 2.8942,                 2.1648,             0.00011488,             0.00011488,             0.00011488
                    146,                 2.6663,                 2.3708,                 2.0445,                0.61299,                0.34061,                0.37005,                0.23309,                 2.8072,                 2.8609,                 2.1567,              0.0001129,              0.0001129,              0.0001129
                    147,                 2.6489,                 2.3546,                 2.0299,                0.63753,                0.33556,                0.37286,                 0.2351,                 2.8189,                  2.885,                 2.1625,             0.00011092,             0.00011092,             0.00011092
