                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 2.5045,                 1.9571,                 2.0182,                 0.5619,                0.46803,                0.46099,                0.27075,                  2.734,                 2.5222,                 2.2079,             0.00030694,             0.00030694,             0.00030694
                     49,                 2.4796,                 1.9553,                 2.0221,                  0.625,                0.36845,                  0.451,                0.26301,                 2.7985,                 2.6028,                 2.2632,             0.00030496,             0.00030496,             0.00030496
                     50,                 2.5122,                 1.9866,                 2.0315,                0.57217,                0.39311,                0.48884,                0.27296,                 2.7776,                 2.5782,                 2.2337,             0.00030298,             0.00030298,             0.00030298
                     51,                  2.496,                   1.95,                 2.0096,                 0.4678,                0.51118,                0.48301,                0.27085,                 2.8156,                 2.6135,                 2.2618,               0.000301,               0.000301,               0.000301
                     52,                 2.4997,                 1.9414,                 2.0221,                 0.5981,                0.38433,                0.48229,                0.26945,                 2.8184,                 2.5638,                 2.2498,             0.00029902,             0.00029902,             0.00029902
                     53,                 2.4552,                   1.91,                 2.0063,                0.60957,                0.41824,                0.48504,                0.26755,                 2.8199,                   2.65,                 2.2645,             0.00029704,             0.00029704,             0.00029704
                     54,                 2.4554,                 1.9074,                 2.0142,                0.53238,                0.46082,                0.47467,                0.25976,                 2.8698,                 2.6481,                 2.2957,             0.00029506,             0.00029506,             0.00029506
                     55,                 2.4849,                 1.9144,                 2.0084,                0.57658,                0.42898,                0.44729,                 0.2621,                 2.8046,                 2.5853,                 2.2656,             0.00029308,             0.00029308,             0.00029308
                     56,                 2.4413,                 1.8924,                 2.0094,                0.47917,                0.52979,                0.48764,                0.27428,                 2.8122,                 2.5929,                 2.2683,              0.0002911,              0.0002911,              0.0002911
                     57,                 2.4405,                 1.8685,                 2.0021,                 0.4815,                0.49626,                0.46266,                0.25783,                 2.8119,                 2.5936,                 2.2602,             0.00028912,             0.00028912,             0.00028912
                     58,                 2.4474,                 1.8628,                 1.9966,                0.60008,                0.43809,                0.47346,                0.26508,                 2.8077,                 2.5863,                 2.2764,             0.00028714,             0.00028714,             0.00028714
                     59,                 2.4554,                 1.8778,                 2.0065,                0.66284,                0.43828,                0.48485,                0.27161,                 2.8287,                 2.5778,                 2.2655,             0.00028516,             0.00028516,             0.00028516
                     60,                 2.4394,                 1.8459,                 1.9959,                0.68769,                0.40662,                0.48101,                 0.2706,                 2.7932,                  2.565,                 2.2509,             0.00028318,             0.00028318,             0.00028318
                     61,                 2.4339,                 1.8598,                 2.0015,                 0.5738,                0.43686,                0.46804,                0.26161,                 2.8105,                 2.5706,                 2.2737,              0.0002812,              0.0002812,              0.0002812
                     62,                 2.4446,                 1.8564,                 1.9927,                0.58341,                0.44094,                0.47339,                0.26583,                 2.8248,                 2.6478,                 2.2665,             0.00027922,             0.00027922,             0.00027922
                     63,                  2.409,                 1.8158,                 1.9883,                  0.671,                0.42522,                 0.4754,                0.27239,                 2.7791,                 2.5886,                 2.2751,             0.00027724,             0.00027724,             0.00027724
