                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 2.1963,                 1.4582,                 1.9838,                0.67169,                  0.447,                 0.5146,                0.29533,                 2.7724,                  2.566,                 2.4413,             0.00027922,             0.00027922,             0.00027922
                     63,                 2.1479,                 1.4188,                 1.9718,                0.68198,                0.44693,                0.52227,                0.30693,                 2.7147,                 2.5828,                  2.418,             0.00027724,             0.00027724,             0.00027724
                     64,                 2.1768,                  1.436,                 1.9681,                0.71142,                0.46826,                0.51786,                0.29291,                  2.775,                 2.5395,                 2.4472,             0.00027526,             0.00027526,             0.00027526
                     65,                 2.1305,                   1.42,                 1.9714,                0.70195,                0.47063,                0.51415,                0.29384,                 2.7647,                 2.4401,                 2.4572,             0.00027328,             0.00027328,             0.00027328
                     66,                 2.1569,                 1.4209,                 1.9724,                0.73974,                0.45966,                0.52004,                 0.3006,                  2.804,                 2.5302,                 2.4776,              0.0002713,              0.0002713,              0.0002713
                     67,                 2.1758,                 1.4432,                 1.9741,                0.71643,                0.45493,                0.50984,                 0.2851,                 2.7956,                 2.5696,                 2.4788,             0.00026932,             0.00026932,             0.00026932
                     68,                 2.1466,                 1.4134,                 1.9643,                0.75783,                0.45101,                0.52333,                0.29961,                 2.7845,                 2.5145,                 2.4748,             0.00026734,             0.00026734,             0.00026734
                     69,                 2.1355,                 1.4095,                 1.9657,                 0.7191,                0.44765,                0.49594,                0.27673,                 2.7778,                 2.5687,                 2.4481,             0.00026536,             0.00026536,             0.00026536
                     70,                 2.1621,                  1.408,                 1.9696,                0.68778,                0.48281,                0.51055,                 0.2913,                 2.7678,                 2.5551,                 2.4451,             0.00026338,             0.00026338,             0.00026338
                     71,                 2.1308,                 1.3906,                  1.959,                0.73106,                0.45245,                0.51176,                0.29613,                 2.7613,                 2.5533,                 2.4498,              0.0002614,              0.0002614,              0.0002614
                     72,                 2.1389,                 1.4009,                 1.9644,                0.60772,                0.49025,                0.51432,                0.29218,                 2.7704,                 2.5344,                 2.4372,             0.00025942,             0.00025942,             0.00025942
                     73,                 2.1336,                 1.3801,                 1.9564,                0.68302,                0.48127,                0.51443,                0.29649,                 2.7622,                 2.4827,                 2.4401,             0.00025744,             0.00025744,             0.00025744
                     74,                 2.0942,                 1.3769,                 1.9564,                0.60011,                0.49116,                0.52081,                0.29896,                  2.767,                 2.5761,                  2.448,             0.00025546,             0.00025546,             0.00025546
                     75,                 2.1077,                 1.3614,                  1.943,                0.69538,                0.45861,                0.50732,                0.28959,                 2.7971,                 2.6315,                 2.4589,             0.00025348,             0.00025348,             0.00025348
                     76,                 2.1039,                 1.3531,                 1.9497,                0.71846,                0.47214,                0.52253,                0.29772,                 2.7894,                 2.5482,                 2.4592,              0.0002515,              0.0002515,              0.0002515
                     77,                 2.1067,                 1.3561,                 1.9448,                0.75448,                0.43251,                0.51859,                0.29325,                 2.8102,                 2.5787,                 2.4897,             0.00024952,             0.00024952,             0.00024952
                     78,                 2.0838,                 1.3396,                 1.9483,                0.61182,                0.48324,                0.51141,                 0.2913,                 2.7885,                 2.6076,                  2.468,             0.00024754,             0.00024754,             0.00024754
                     79,                  2.093,                 1.3456,                  1.939,                0.60364,                0.49116,                0.50845,                0.28805,                 2.8303,                 2.6077,                 2.5029,             0.00024556,             0.00024556,             0.00024556
                     80,                 2.0796,                 1.3409,                 1.9387,                0.68428,                0.47631,                0.51195,                0.28832,                  2.806,                 2.6167,                 2.4706,             0.00024358,             0.00024358,             0.00024358
                     81,                 2.0578,                 1.3149,                 1.9266,                0.61325,                0.46115,                 0.5227,                 0.3042,                 2.7631,                 2.5019,                 2.4547,              0.0002416,              0.0002416,              0.0002416
                     82,                 2.0526,                 1.3137,                 1.9255,                0.62682,                0.48344,                0.51355,                0.29179,                 2.7919,                  2.585,                 2.4954,             0.00023962,             0.00023962,             0.00023962
                     83,                 2.0615,                 1.3146,                 1.9294,                0.64901,                0.48329,                 0.5158,                0.30128,                 2.7809,                 2.6146,                 2.4598,             0.00023764,             0.00023764,             0.00023764
                     84,                 2.0348,                 1.2912,                 1.9257,                0.57361,                0.47392,                0.50877,                0.30011,                 2.7915,                 2.6345,                 2.4769,             0.00023566,             0.00023566,             0.00023566
                     85,                 2.0506,                 1.3232,                 1.9268,                0.65073,                0.46402,                0.51308,                0.29414,                 2.8188,                 2.6191,                 2.4848,             0.00023368,             0.00023368,             0.00023368
                     86,                 2.0362,                 1.3031,                 1.9289,                 0.7265,                0.47608,                0.51742,                0.29886,                 2.7982,                 2.6199,                 2.4828,              0.0002317,              0.0002317,              0.0002317
                     87,                 2.0609,                 1.3172,                 1.9163,                0.72347,                0.44273,                 0.4996,                0.28283,                 2.8078,                 2.6864,                 2.4844,             0.00022972,             0.00022972,             0.00022972
                     88,                 2.0642,                  1.299,                 1.9316,                0.72676,                0.45372,                0.51021,                0.29099,                  2.788,                 2.6209,                 2.4627,             0.00022774,             0.00022774,             0.00022774
                     89,                 2.0343,                  1.288,                  1.928,                0.65766,                0.47418,                0.51919,                 0.2978,                  2.811,                  2.642,                 2.4895,             0.00022576,             0.00022576,             0.00022576
                     90,                 2.0175,                 1.2843,                 1.9311,                0.62348,                 0.4612,                0.52328,                0.29125,                 2.8169,                 2.6158,                  2.481,             0.00022378,             0.00022378,             0.00022378
